# frequency  PSD
3.041880341880341954e-01 5.212851845019792081e-16
3.042735042735042472e-01 5.291645770569820937e-16
3.043589743589743546e-01 5.426342466394331456e-16
3.044444444444444620e-01 5.541437288609729948e-16
3.045299145299145138e-01 5.590788847777337152e-16
3.046153846153846212e-01 5.600175837746625703e-16
3.047008547008546731e-01 5.652893670804695482e-16
3.047863247863247804e-01 5.663580135187448928e-16
3.048717948717948878e-01 5.753722772933303779e-16
3.049572649572649397e-01 5.863603328321426521e-16
3.050427350427350470e-01 5.933916949072321810e-16
3.051282051282051544e-01 6.013727414440683096e-16
3.052136752136752063e-01 6.090205522130315158e-16
3.052991452991453136e-01 6.491981071175038528e-16
3.053846153846153655e-01 6.827712243007690030e-16
3.054700854700854729e-01 6.971020852738921579e-16
3.055555555555555802e-01 7.428528367468772678e-16
3.056410256410256321e-01 7.772828093721277256e-16
3.057264957264957395e-01 7.843338437857365478e-16
3.058119658119657913e-01 7.991909386833698540e-16
3.058974358974358987e-01 8.051878366039416437e-16
3.059829059829060061e-01 8.066574809662465713e-16
3.060683760683760579e-01 8.098339545709121908e-16
3.061538461538461653e-01 8.164873192322587453e-16
3.062393162393162171e-01 8.817598695859519356e-16
3.063247863247863245e-01 8.890741252675576728e-16
3.064102564102564319e-01 8.957822985830720169e-16
3.064957264957264838e-01 9.113348632555617767e-16
3.065811965811965911e-01 9.120993626640074231e-16
3.066666666666666430e-01 9.153591498599739385e-16
3.067521367521367504e-01 9.210486148980370663e-16
3.068376068376068577e-01 9.456471882690463036e-16
3.069230769230769096e-01 9.460030757594815829e-16
3.070085470085470170e-01 9.479739940284211302e-16
3.070940170940170688e-01 9.735155501265318130e-16
3.071794871794871762e-01 9.855579476144999651e-16
3.072649572649572836e-01 9.940083186877496657e-16
3.073504273504273354e-01 1.005982300936096478e-15
3.074358974358974428e-01 1.043072131187144172e-15
3.075213675213674946e-01 1.056265426883664887e-15
3.076068376068376020e-01 1.061683934642253363e-15
3.076923076923077094e-01 1.072779917847697016e-15
3.077777777777777612e-01 1.073279206712110087e-15
3.078632478632478686e-01 1.122563607780886728e-15
3.079487179487179760e-01 1.175620255316259183e-15
3.080341880341880278e-01 1.178877418424174226e-15
3.081196581196581352e-01 1.191959413112748944e-15
3.082051282051281871e-01 1.193965536348786653e-15
3.082905982905982945e-01 1.199423891281188762e-15
3.083760683760684018e-01 1.218579012793444969e-15
3.084615384615384537e-01 1.223469024771058876e-15
3.085470085470085611e-01 1.228553986283717184e-15
3.086324786324786129e-01 1.230412072709606684e-15
3.087179487179487203e-01 1.249864830606252107e-15
3.088034188034188277e-01 1.256434126978255516e-15
3.088888888888888795e-01 1.263638395019756876e-15
3.089743589743589869e-01 1.284442648996034020e-15
3.090598290598290387e-01 1.293415724346764600e-15
3.091452991452991461e-01 1.302101122214979420e-15
3.092307692307692535e-01 1.336643596515744072e-15
3.093162393162393053e-01 1.360503377784688366e-15
3.094017094017094127e-01 1.381227297950292313e-15
3.094871794871794646e-01 1.387729063843675005e-15
3.095726495726495719e-01 1.389133784943460231e-15
3.096581196581196793e-01 1.429802515115391834e-15
3.097435897435897312e-01 1.478416755949964508e-15
3.098290598290598385e-01 1.485791716627274026e-15
3.099145299145298904e-01 1.487845056053875187e-15
3.099999999999999978e-01 1.490862129582853058e-15
3.100854700854701052e-01 1.498491058203887793e-15
3.101709401709401570e-01 1.514879179838690591e-15
3.102564102564102644e-01 1.517704986785457562e-15
3.103418803418803162e-01 1.520778684375960609e-15
3.104273504273504236e-01 1.522663901448076133e-15
3.105128205128205310e-01 1.537903397385359560e-15
3.105982905982905828e-01 1.544013768847028441e-15
3.106837606837606902e-01 1.544354572386497021e-15
3.107692307692307421e-01 1.557862034955165943e-15
3.108547008547008494e-01 1.559297623964160697e-15
3.109401709401709568e-01 1.581211047990980637e-15
3.110256410256410087e-01 1.585027549166936150e-15
3.111111111111111160e-01 1.589975021940988276e-15
3.111965811965812234e-01 1.603999415704876544e-15
3.112820512820512753e-01 1.633274519410237319e-15
3.113675213675213826e-01 1.636511692893188325e-15
3.114529914529914345e-01 1.669178588545581779e-15
3.115384615384615419e-01 1.678492386035388961e-15
3.116239316239316492e-01 1.706329569804906552e-15
3.117094017094017011e-01 1.707022028636658740e-15
3.117948717948718085e-01 1.710811896557015336e-15
3.118803418803418603e-01 1.720563665065470946e-15
3.119658119658119677e-01 1.729486384227567208e-15
3.120512820512820751e-01 1.741330046906396593e-15
3.121367521367521269e-01 1.775192030931885912e-15
3.122222222222222343e-01 1.792983652511307464e-15
3.123076923076922862e-01 1.796556660145737279e-15
3.123931623931623935e-01 1.819044545017019715e-15
3.124786324786325009e-01 1.854476733046827245e-15
3.125641025641025528e-01 1.910394684920065722e-15
3.126495726495726601e-01 1.917654791166789804e-15
3.127350427350427120e-01 1.919443696655519284e-15
3.128205128205128194e-01 1.931635050182013552e-15
3.129059829059829267e-01 1.931635050182013552e-15
3.129914529914529786e-01 1.936422137403475796e-15
3.130769230769230860e-01 1.957076399143038014e-15
3.131623931623931378e-01 1.983255574310206825e-15
3.132478632478632452e-01 1.997702244579159362e-15
3.133333333333333526e-01 2.006756337616899879e-15
3.134188034188034044e-01 2.031616199440194286e-15
3.135042735042735118e-01 2.034616027217293394e-15
3.135897435897435637e-01 2.055644998601051325e-15
3.136752136752136710e-01 2.066450353124922019e-15
3.137606837606837784e-01 2.068132099244732696e-15
3.138461538461538303e-01 2.070696437301364975e-15
3.139316239316239376e-01 2.083052448237654119e-15
3.140170940170939895e-01 2.085690229577991102e-15
3.141025641025640969e-01 2.105468930723443105e-15
3.141880341880342042e-01 2.111733720352099606e-15
3.142735042735042561e-01 2.111733720352099606e-15
3.143589743589743635e-01 2.125007931852647497e-15
3.144444444444444708e-01 2.133844648659929963e-15
3.145299145299145227e-01 2.155446255067374079e-15
3.146153846153846301e-01 2.163544570669406079e-15
3.147008547008546819e-01 2.165765313440812617e-15
3.147863247863247893e-01 2.173762386189558867e-15
3.148717948717948967e-01 2.189252116926569750e-15
3.149572649572649485e-01 2.194169084556794753e-15
3.150427350427350559e-01 2.240542533490538969e-15
3.151282051282051078e-01 2.266860715265270443e-15
3.152136752136752151e-01 2.267759914571447378e-15
3.152991452991453225e-01 2.272556845114281657e-15
3.153846153846153744e-01 2.273385193642165403e-15
3.154700854700854817e-01 2.306975476402572497e-15
3.155555555555555336e-01 2.308982941765959567e-15
3.156410256410256410e-01 2.338218195803122612e-15
3.157264957264957483e-01 2.342204122907135969e-15
3.158119658119658002e-01 2.344216237639691040e-15
3.158974358974359076e-01 2.353756031655328897e-15
3.159829059829059594e-01 2.373361238625294845e-15
3.160683760683760668e-01 2.384541190059499906e-15
3.161538461538461742e-01 2.411565711203954624e-15
3.162393162393162260e-01 2.419167816103401661e-15
3.163247863247863334e-01 2.424059085605159218e-15
3.164102564102563853e-01 2.443145276688104684e-15
3.164957264957264926e-01 2.447224119150728130e-15
3.165811965811966000e-01 2.463633637597794589e-15
3.166666666666666519e-01 2.495886632324049535e-15
3.167521367521367592e-01 2.501713717069326024e-15
3.168376068376068111e-01 2.519215902092627781e-15
3.169230769230769185e-01 2.529212025845926277e-15
3.170085470085470258e-01 2.530061603403599189e-15
3.170940170940170777e-01 2.547800017421982940e-15
3.171794871794871851e-01 2.552789627774543594e-15
3.172649572649572924e-01 2.588359613203937059e-15
3.173504273504273443e-01 2.607798061651541686e-15
3.174358974358974517e-01 2.608428783878795040e-15
3.175213675213675035e-01 2.613069278664513520e-15
3.176068376068376109e-01 2.634627709408482112e-15
3.176923076923077183e-01 2.645486722121105886e-15
3.177777777777777701e-01 2.659344856898298171e-15
3.178632478632478775e-01 2.693658462490246477e-15
3.179487179487179294e-01 2.728302146625028012e-15
3.180341880341880367e-01 2.761919576325703824e-15
3.181196581196581441e-01 2.776271028370913740e-15
3.182051282051281960e-01 2.787086467052896850e-15
3.182905982905983033e-01 2.800476315770341580e-15
3.183760683760683552e-01 2.818199452327471802e-15
3.184615384615384626e-01 2.818657158602050962e-15
3.185470085470085699e-01 2.822625045246338759e-15
3.186324786324786218e-01 2.823406568360572786e-15
3.187179487179487292e-01 2.829098497179156104e-15
3.188034188034187810e-01 2.831756087153405681e-15
3.188888888888888884e-01 2.848455440774192604e-15
3.189743589743589958e-01 2.849869286582137884e-15
3.190598290598290476e-01 2.862536071576547675e-15
3.191452991452991550e-01 2.876529463709353667e-15
3.192307692307692069e-01 2.897826791739202605e-15
3.193162393162393142e-01 2.934765168735892841e-15
3.194017094017094216e-01 2.945543634252812912e-15
3.194871794871794735e-01 2.957220684953915371e-15
3.195726495726495808e-01 2.959932093064036312e-15
3.196581196581196327e-01 2.961652102973986218e-15
3.197435897435897401e-01 2.964288778478799794e-15
3.198290598290598474e-01 2.976254730579982106e-15
3.199145299145298993e-01 2.987434630532968692e-15
3.200000000000000067e-01 3.001464131754686297e-15
3.200854700854700585e-01 3.002397186164042905e-15
3.201709401709401659e-01 3.019538130036891175e-15
3.202564102564102733e-01 3.041721714776986792e-15
3.203418803418803251e-01 3.049816329359804464e-15
3.204273504273504325e-01 3.076846967091165388e-15
3.205128205128205399e-01 3.101669817716979153e-15
3.205982905982905917e-01 3.134565517257457211e-15
3.206837606837606991e-01 3.143501079013309054e-15
3.207692307692307510e-01 3.161729770425903484e-15
3.208547008547008583e-01 3.186965293718726452e-15
3.209401709401709657e-01 3.195453422388664178e-15
3.210256410256410176e-01 3.217962974171274195e-15
3.211111111111111249e-01 3.242143073307226476e-15
3.211965811965811768e-01 3.269665886569309881e-15
3.212820512820512842e-01 3.283334007115877312e-15
3.213675213675213915e-01 3.302268174717362821e-15
3.214529914529914434e-01 3.320948941097608687e-15
3.215384615384615508e-01 3.322447674730932763e-15
3.216239316239316026e-01 3.327776402913291394e-15
3.217094017094017100e-01 3.333685558166176421e-15
3.217948717948718174e-01 3.334543736672308268e-15
3.218803418803418692e-01 3.346004225087823457e-15
3.219658119658119766e-01 3.390396900001925014e-15
3.220512820512820285e-01 3.401278724554303207e-15
3.221367521367521358e-01 3.410950543352182612e-15
3.222222222222222432e-01 3.443184906211732531e-15
3.223076923076922951e-01 3.487893036735988418e-15
3.223931623931624024e-01 3.489857559119516764e-15
3.224786324786324543e-01 3.493654356936136706e-15
3.225641025641025617e-01 3.529727574159941539e-15
3.226495726495726690e-01 3.546284877973551643e-15
3.227350427350427209e-01 3.560527168653930362e-15
3.228205128205128283e-01 3.579695971644880009e-15
3.229059829059828801e-01 3.594230796850325994e-15
3.229914529914529875e-01 3.641117982810313679e-15
3.230769230769230949e-01 3.642866927844464919e-15
3.231623931623931467e-01 3.648366938892093292e-15
3.232478632478632541e-01 3.651506172220362560e-15
3.233333333333333059e-01 3.665735465429212425e-15
3.234188034188034133e-01 3.691980865474561694e-15
3.235042735042735207e-01 3.721698179801764029e-15
3.235897435897435725e-01 3.724144949620864477e-15
3.236752136752136799e-01 3.731039350926796486e-15
3.237606837606837873e-01 3.731286696918383244e-15
3.238461538461538392e-01 3.753344485934216758e-15
3.239316239316239465e-01 3.767190057437627898e-15
3.240170940170939984e-01 3.768818487308662034e-15
3.241025641025641058e-01 3.794776923980553738e-15
3.241880341880342131e-01 3.797568528113291792e-15
3.242735042735042650e-01 3.800282939201300184e-15
3.243589743589743724e-01 3.809000151173665027e-15
3.244444444444444242e-01 3.815336904223394003e-15
3.245299145299145316e-01 3.820359219583565615e-15
3.246153846153846390e-01 3.820672581799806811e-15
3.247008547008546908e-01 3.820672581799806811e-15
3.247863247863247982e-01 3.823738348579885881e-15
3.248717948717948500e-01 3.829319936224837982e-15
3.249572649572649574e-01 3.839304838847034628e-15
3.250427350427350648e-01 3.842406681914929731e-15
3.251282051282051166e-01 3.851846349903337255e-15
3.252136752136752240e-01 3.853956991491955041e-15
3.252991452991452759e-01 3.874074543275107735e-15
3.253846153846153832e-01 3.904528501278613994e-15
3.254700854700854906e-01 3.908907994567070980e-15
3.255555555555555425e-01 3.928500703048240293e-15
3.256410256410256499e-01 3.938371497180913124e-15
3.257264957264957017e-01 3.939054296578027885e-15
3.258119658119658091e-01 3.953252342488702000e-15
3.258974358974359165e-01 3.959017481784287255e-15
3.259829059829059683e-01 3.988973907133534171e-15
3.260683760683760757e-01 4.000219525413390955e-15
3.261538461538461275e-01 4.003029988674207910e-15
3.262393162393162349e-01 4.021488016377293709e-15
3.263247863247863423e-01 4.035420768151778837e-15
3.264102564102563941e-01 4.041658252598699323e-15
3.264957264957265015e-01 4.066400033520684607e-15
3.265811965811965534e-01 4.081971312448073728e-15
3.266666666666666607e-01 4.110184682208274117e-15
3.267521367521367681e-01 4.144663998769466773e-15
3.268376068376068200e-01 4.150459514230402375e-15
3.269230769230769273e-01 4.153074622911428642e-15
3.270085470085470347e-01 4.211989156767970792e-15
